Año,Indice de explosividad volcánica,Tipo de volcán,Elevación,Flag Tsunami,Flag Terremoto,Nombre y pais
1910,,Caldera,Radiocarbon,False,False,Taupo (New Zealand)
1952,,Volcán complejo,Radiocarbon,False,False,Hakone (Honshu-Japan)
1953,2,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1963,3,Estratovolcán,Historical,False,False,Irazu (Costa Rica)
1974,1,Estratovolcán,Historical,True,False,Ritter Island (New Guinea-NE of)
1986,2,Estratovolcán,Historical,False,False,Merapi (Java)
1987,3,Volcán complejo,Historical,False,False,Pacaya (Guatemala)
1990,,Escudo piroclástico,Historical,False,False,Rabaul (New Britain-SW Pac)
1993,,Estratovolcán,Historical,False,False,Pinatubo (Luzon-Philippines)
2000,2,Estratovolcán,Historical,True,True,Miyake-jima (Izu Is-Japan)
2006,1,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
2009,,Estratovolcán,Historical,False,False,Redoubt (Alaska-SW)
2016,,Estratovolcán,Holocene,False,False,Sinabung (Sumatra)
2018,,Estratovolcán,Historical,False,False,Kusatsu-Shirane (Honshu-Japan)
2019,2,Estratovolcán,Historical,False,False,Stromboli (Italy)
-1860,6,Estratovolcán,Historical,False,False,St. Helens (US-Washington)
230,6,Caldera,Radiocarbon,False,False,Taupo (New Zealand)
1169,,Estratovolcán,Historical,True,True,Etna (Italy)
1566,3,Volcán en escudo,Historical,False,False,Kirishima (Kyushu-Japan)
1597,4,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1640,3,Estratovolcán,Historical,False,False,Tungurahua (Ecuador)
1650,4,Volcán en escudo,Historical,True,False,Santorini (Greece)
1660,4,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1672,3,Estratovolcán,Historical,False,False,Merapi (Java)
1679,,Volcán en escudo,Holocene,False,True,Zukur (Red Sea)
1717,3,Volcán en escudo,Historical,False,False,Kirishima (Kyushu-Japan)
1741,4,Estratovolcán,Historical,True,False,Oshima-Oshima (Hokkaido-Japan)
1753,2,Caldera,Historical,False,False,Grimsvotn (Iceland-NE)
1780,4,Estratovolcán,Historical,True,False,Sakura-jima (Kyushu-Japan)
1817,4,Estratovolcán,Historical,False,False,Raung (Java)
1833,2,Estratovolcán,Historical,False,False,Kaba (Sumatra)
1841,2,Estratovolcán,Historical,False,False,Kuchinoerabu-jima (Ryukyu Is)
1843,0,Estratovolcán,Radiocarbon,True,False,Liamuiga (W Indies)
1871,2,Estratovolcán,Historical,True,False,Ruang (Sangihe Is-Indonesia)
1899,2,Estratovolcán,Historical,False,False,Manam (New Guinea-NE of)
1900,2,Volcán en escudo,Historical,False,False,Kirishima (Kyushu-Japan)
1928,3,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
1937,4,Escudo piroclástico,Historical,True,True,Rabaul (New Britain-SW Pac)
1946,2,Estratovolcán,Historical,False,False,Sakura-jima (Kyushu-Japan)
1953,0,Volcán complejo,Historical,True,False,St. Andrew Strait (Admiralty Is-SW Paci)
1976,3,Estratovolcán,Historical,False,False,Sangay (Ecuador)
1977,3,Estratovolcán,Historical,False,False,Kliuchevskoi (Kamchatka)
1981,,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
